[0.86s -> 1.18s]  Feeling
[1.18s -> 1.68s]  all
[1.68s -> 1.84s]  the
[1.84s -> 2.24s]  skies
[2.24s -> 2.64s]  of
[2.64s -> 3.02s]  night
[3.02s -> 3.32s]  in
[3.32s -> 3.62s]  soon
[3.62s -> 4.24s]  creates
[4.24s -> 4.58s]  a
[4.58s -> 4.86s]  flower
[4.86s -> 5.72s]  City
[5.72s -> 6.52s]  voices
[6.52s -> 7.14s]  are
[7.14s -> 7.34s]  all
[7.34s -> 7.90s]  rotten
[7.90s -> 8.60s]  but
[8.60s -> 8.66s]  the
[8.66s -> 9.22s]  shining
[9.22s -> 9.70s]  light
[9.70s -> 9.94s]  and
[9.94s -> 10.28s]  sounds
[10.28s -> 10.92s]  removed
[10.92s -> 11.68s]  World
[11.68s -> 12.12s]  of
[12.12s -> 12.34s]  all
[12.34s -> 12.88s]  silence
[12.88s -> 13.30s]  all
[13.30s -> 13.54s]  that
[13.54s -> 14.00s]  was
[14.00s -> 14.40s]  left
[14.40s -> 14.64s]  is
[14.64s -> 14.90s]  too
[14.90s -> 15.54s]  alone
[15.62s -> 16.32s]  Then
[16.32s -> 17.28s]  echoing
[17.28s -> 17.48s]  out
[17.48s -> 17.76s]  the
[17.76s -> 17.98s]  words
[17.98s -> 18.08s]  that
[18.08s -> 18.46s]  I'm
[18.46s -> 18.56s]  in
[18.56s -> 18.86s]  love
[18.86s -> 19.12s]  with
[19.12s -> 19.40s]  you
[35.42s -> 35.52s]  You
[35.52s -> 35.90s]  made
[35.90s -> 36.32s]  up
[36.32s -> 36.60s]  with
[36.60s -> 36.94s]  me
[36.94s -> 37.54s]  inside
[37.54s -> 37.94s]  a
[37.94s -> 38.36s]  dream,
[38.48s -> 38.70s]  our
[38.72s -> 39.16s]  future
[39.16s -> 39.42s]  was
[39.42s -> 39.70s]  shown
[39.70s -> 40.34s]  Night
[40.34s -> 40.60s]  of
[40.60s -> 41.04s]  summer,
[41.24s -> 41.54s]  you
[41.54s -> 41.96s]  and
[41.96s -> 42.20s]  me
[42.20s -> 42.70s]  formed
[42.91s -> 43.76s]  Silhouettes,
[43.76s -> 43.92s]  my
[43.92s -> 44.30s]  right
[44.30s -> 44.60s]  there
[44.60s -> 44.94s]  next
[44.94s -> 45.38s]  to
[45.38s -> 45.68s]  you
[45.68s -> 46.48s]  Final
[46.48s -> 47.04s]  love
[47.04s -> 47.30s]  of
[47.30s -> 47.94s]  fireworks,
[48.38s -> 48.60s]  the
[48.60s -> 49.12s]  rising
[49.12s -> 49.54s]  to
[49.54s -> 49.90s]  the
[49.90s -> 50.28s]  sky
[50.28s -> 51.08s]  When
[51.08s -> 51.30s]  it
[51.30s -> 51.68s]  fades
[51.68s -> 52.08s]  away,
[52.24s -> 52.74s]  that'll
[52.74s -> 52.92s]  be
[52.92s -> 53.22s]  the
[53.22s -> 53.52s]  sign
[53.52s -> 53.74s]  for
[53.74s -> 54.06s]  this
[55.68s -> 56.28s]  It's
[56.28s -> 56.30s]  you
[56.30s -> 56.68s]  and
[56.68s -> 57.20s]  ordinary
[57.20s -> 57.96s]  morning
[58.03s -> 58.88s]  It's
[58.88s -> 58.88s]  an
[58.88s -> 59.22s]  ordinary
[59.22s -> 59.96s]  looking
[59.96s -> 60.52s]  image
[60.52s -> 60.74s]  you
[60.74s -> 60.94s]  caught
[60.94s -> 61.20s]  on
[61.20s -> 61.54s]  Always
[61.54s -> 61.72s]  in
[61.72s -> 61.88s]  for
[61.88s -> 62.08s]  me,
[62.12s -> 62.50s]  breaking
[62.50s -> 63.04s]  every
[63.04s -> 63.42s]  eye
[63.42s -> 64.00s]  contact
[64.00s -> 64.44s]  with
[64.44s -> 64.58s]  you
[64.58s -> 65.16s]  was
[65.16s -> 66.02s]  Ah,
[66.14s -> 66.80s]  for
[66.88s -> 67.32s]  I
[67.46s -> 67.58s]  have
[67.58s -> 68.00s]  been
[68.00s -> 68.86s]  consumed
[68.86s -> 69.32s]  by
[69.32s -> 69.68s]  words
[69.68s -> 69.94s]  let
[69.94s -> 70.32s]  out
[70.32s -> 70.66s]  And
[70.66s -> 70.98s]  what
[70.98s -> 71.36s]  you've
[71.36s -> 71.74s]  shown,
[72.03s -> 72.42s]  even
[72.42s -> 73.00s]  now
[73.00s -> 73.46s]  Still
[73.46s -> 73.64s]  have
[73.64s -> 73.86s]  red
[73.86s -> 74.20s]  tums
[74.20s -> 74.36s]  to
[74.36s -> 74.58s]  keep
[74.58s -> 74.94s]  ringing
[74.94s -> 75.30s]  on
[75.30s -> 75.58s]  inside
[77.70s -> 78.46s]  Ah,
[78.72s -> 79.46s]  onto
[79.46s -> 80.00s]  where
[80.00s -> 80.26s]  now
[80.26s -> 80.68s]  we'll
[80.68s -> 81.02s]  land
[81.02s -> 82.06s]  I'm
[82.21s -> 82.46s]  waiting
[82.46s -> 82.98s]  past
[82.98s -> 83.48s]  dreaming
[83.48s -> 84.50s]  Too
[84.50s -> 85.26s]  wanted
[85.26s -> 85.56s]  to
[85.56s -> 86.24s]  arrive
[86.24s -> 86.90s]  and
[86.90s -> 87.84s]  find
[87.84s -> 88.36s]  it
[89.02s -> 89.68s]  Forgotten
[89.68s -> 89.88s]  the
[89.88s -> 90.18s]  dream
[90.18s -> 90.44s]  and
[90.44s -> 90.92s]  waiting
[91.07s -> 91.74s]  Until
[91.74s -> 92.92s]  nobody's
[93.02s -> 93.12s]  true
[93.12s -> 93.74s]  worries
[93.74s -> 94.20s]  Deep
[94.24s -> 95.00s]  in
[95.00s -> 95.60s]  my
[95.60s -> 95.70s]  head
[96.35s -> 96.64s]  Seems
[96.64s -> 97.08s]  now
[97.08s -> 97.94s]  that
[97.94s -> 98.12s]  I
[98.12s -> 98.46s]  can't
[98.46s -> 99.12s]  fall
[99.12s -> 99.64s]  I
[99.64s -> 100.74s]  am
[100.74s -> 101.02s]  now
[101.02s -> 101.28s]  through
[101.28s -> 101.58s]  a
[101.58s -> 102.24s]  present
