[0.60s -> 0.70s]  Why
[0.77s -> 1.00s]  don't
[1.00s -> 1.08s]  you
[1.08s -> 1.38s]  try
[1.38s -> 1.92s]  what
[2.02s -> 2.24s]  you
[2.24s -> 2.56s]  don't
[2.56s -> 2.88s]  always
[2.88s -> 3.28s]  do?
[3.38s -> 3.48s]  So,
[4.14s -> 4.54s]  as
[4.54s -> 4.70s]  an
[4.70s -> 5.04s]  actor,
[5.12s -> 5.42s]  it's
[5.42s -> 5.82s]  collaborating
[5.82s -> 6.20s]  with
[6.20s -> 6.44s]  your
[6.44s -> 6.74s]  team
[6.74s -> 7.70s]  Lucky
[7.70s -> 8.04s]  boy,
[8.16s -> 8.68s]  Mr.
[8.80s -> 9.09s]  Bust
[10.04s -> 10.14s]  That's
[10.14s -> 10.14s]  a
[10.14s -> 10.34s]  nice
[10.34s -> 10.62s]  name
[10.62s -> 11.10s]  Most
[11.10s -> 11.86s]  of
[11.86s -> 12.06s]  it
[12.06s -> 12.18s]  I
[12.18s -> 12.38s]  can,
[12.50s -> 12.82s]  most
[12.82s -> 13.04s]  of
[13.04s -> 13.26s]  it
[13.26s -> 13.36s]  I
[13.36s -> 13.62s]  can
[13.62s -> 13.98s]  Fight,
[14.20s -> 14.30s]  take
[14.30s -> 14.52s]  a
[14.52s -> 14.82s]  step
[14.82s -> 15.26s]  out
[15.26s -> 15.50s]  and
[15.50s -> 15.74s]  the
[15.74s -> 16.22s]  world's
[16.22s -> 16.38s]  all
[16.38s -> 16.70s]  sees
[16.70s -> 16.96s]  that
[16.96s -> 17.24s]  arm
[17.24s -> 17.80s]  Inside
[17.80s -> 18.06s]  of
[18.06s -> 18.18s]  it
[18.18s -> 18.40s]  all,
[18.46s -> 18.70s]  I
[18.70s -> 19.04s]  care
[19.04s -> 19.26s]  so
[19.26s -> 19.68s]  let
[19.68s -> 19.92s]  the
[19.92s -> 20.28s]  flow
[20.28s -> 20.76s]  around
[20.76s -> 21.14s]  I
[21.14s -> 21.48s]  live
[21.48s -> 21.64s]  and
[21.64s -> 21.92s]  recall
[21.92s -> 22.42s]  each
[22.42s -> 22.74s]  hour
[22.74s -> 22.94s]  I
[22.94s -> 23.20s]  got
[23.20s -> 23.98s]  Today's
[23.98s -> 24.24s]  shift
[24.24s -> 24.62s]  ending
[24.62s -> 24.98s]  so
[24.98s -> 25.34s]  charming,
