[4.06s -> 4.16s]  Here
[4.16s -> 4.48s]  I
[4.48s -> 4.82s]  make
[4.82s -> 5.06s]  new
[5.06s -> 5.76s]  meaning
[5.76s -> 6.30s]  over
[6.30s -> 6.80s]  these
[6.80s -> 7.30s]  waters
[8.21s -> 9.26s]  Consumed
[9.26s -> 9.68s]  and
[9.68s -> 10.20s]  cut
[10.20s -> 10.42s]  the
[10.42s -> 10.68s]  clear
[10.68s -> 11.04s]  with
[11.04s -> 11.28s]  a
[11.28s -> 12.33s]  scissor
[12.42s -> 13.36s]  Two
[13.36s -> 13.78s]  flippin'
[13.84s -> 14.24s]  wings
[14.24s -> 15.06s]  as
[15.17s -> 15.34s]  fast
[15.34s -> 15.70s]  as
[15.82s -> 15.92s]  I
[15.97s -> 16.18s]  can
[16.18s -> 16.66s]  take
[16.66s -> 17.22s]  To
[17.25s -> 17.54s]  my
[17.54s -> 18.08s]  city,
[18.16s -> 18.50s]  there
[18.50s -> 18.98s]  it's
[18.98s -> 19.12s]  go
[19.12s -> 20.04s]  soon
[20.04s -> 20.62s]  beyond
[20.62s -> 21.08s]  this
[21.08s -> 21.80s]  ocean
[21.80s -> 22.50s]  Yes,
[22.52s -> 22.90s]  I'm
[22.90s -> 23.02s]  a
[23.02s -> 23.36s]  small
[23.36s -> 23.96s]  little
[23.96s -> 24.52s]  swallow
[24.52s -> 25.44s]  arriving
[26.98s -> 27.20s]  Upon
[27.20s -> 27.62s]  a
[27.62s -> 27.92s]  city
[27.92s -> 28.44s]  there
[28.44s -> 28.72s]  is
[28.72s -> 29.12s]  something
[29.12s -> 29.60s]  that
[29.60s -> 29.86s]  I
[29.86s -> 30.20s]  saw
[31.49s -> 31.66s]  That's
[31.66s -> 31.84s]  full
[31.84s -> 32.20s]  of
[32.20s -> 32.44s]  joy,
[32.76s -> 33.30s]  I
[33.44s -> 33.64s]  hear
[33.64s -> 33.86s]  a
[34.02s -> 34.12s]  few
[34.12s -> 34.67s]  voices
[34.68s -> 35.64s]  And
[35.81s -> 36.04s]  sounds
[36.04s -> 36.18s]  of
[36.18s -> 36.66s]  worry
[36.66s -> 37.02s]  and
[37.02s -> 37.72s]  sorrow
[37.72s -> 38.46s]  of
[38.46s -> 38.98s]  other
[38.98s -> 39.34s]  friends'
[39.52s -> 39.90s]  voices
[39.90s -> 40.76s]  We
[40.76s -> 40.96s]  all
[40.96s -> 41.36s]  have
[41.36s -> 41.74s]  many
[41.74s -> 42.22s]  different
[42.22s -> 42.82s]  ways
[42.82s -> 43.24s]  to
[43.24s -> 43.54s]  be
[43.55s -> 44.04s]  little
[44.04s -> 44.54s]  as
[44.54s -> 44.74s]  we
[44.74s -> 45.06s]  are
[45.06s -> 45.54s]  And
[45.54s -> 46.40s]  wanted
[46.40s -> 46.72s]  to
[46.72s -> 47.06s]  just
[47.06s -> 47.52s]  protect
[47.52s -> 48.24s]  without
[48.24s -> 48.74s]  a
[48.74s -> 49.14s]  type
[49.14s -> 49.36s]  of
[49.36s -> 49.84s]  notice
[51.80s -> 52.12s]  We
[52.12s -> 52.12s]  reflect
[52.12s -> 52.42s]  the
[52.42s -> 52.88s]  despite
[52.88s -> 53.38s]  on
[53.38s -> 53.64s]  one
[53.64s -> 54.24s]  another
[54.78s -> 55.16s]  Under
[55.16s -> 55.54s]  the
[55.54s -> 55.92s]  same
[55.92s -> 56.40s]  sky
[56.40s -> 56.76s]  we're
[56.76s -> 57.30s]  livin'
[58.72s -> 59.12s]  Brought
[59.12s -> 59.28s]  to
[59.42s -> 59.52s]  the
[59.52s -> 59.62s]  world,
[60.20s -> 60.62s]  every
[60.62s -> 61.10s]  tone
[61.10s -> 61.40s]  is
[61.40s -> 61.66s]  more
[61.66s -> 61.98s]  than
[61.98s -> 62.30s]  naught
[62.66s -> 62.78s]  Many
[62.78s -> 63.36s]  lives
[63.54s -> 63.64s]  of
[63.64s -> 64.00s]  color,
[64.14s -> 64.77s]  variety
[64.80s -> 65.92s]  Together
[65.92s -> 66.72s]  we
[66.94s -> 67.06s]  keep
[67.06s -> 67.49s]  livin'
[67.84s -> 68.18s]  With
[68.18s -> 68.74s]  everyone,
[69.26s -> 69.60s]  we
[69.60s -> 70.04s]  people
[70.04s -> 70.50s]  and
[70.50s -> 70.80s]  all
[70.80s -> 71.00s]  the
[71.00s -> 71.36s]  plant
[71.36s -> 72.04s]  Every
[72.04s -> 72.50s]  fruit
[72.50s -> 72.74s]  and
[72.74s -> 73.14s]  flower,
[73.30s -> 73.78s]  shorter
[73.78s -> 74.12s]  to
[74.12s -> 74.56s]  shorter
[74.56s -> 75.00s]  Just
[75.00s -> 75.34s]  look
[75.34s -> 75.88s]  around
[77.24s -> 77.34s]  But
[77.50s -> 77.60s]  in
[77.60s -> 77.82s]  the
[77.82s -> 77.98s]  world,
[78.46s -> 78.78s]  things
[78.85s -> 79.16s]  we're
[79.16s -> 79.56s]  always
[79.74s -> 80.02s]  reaching
[80.02s -> 80.46s]  for
[81.80s -> 82.06s]  The
[82.06s -> 82.06s]  futures
[82.06s -> 82.50s]  we're
[82.50s -> 82.94s]  looking
[82.94s -> 83.68s]  for
[83.68s -> 84.26s]  are
[84.26s -> 84.48s]  all
[84.48s -> 84.76s]  such
[84.76s -> 85.22s]  different
[85.22s -> 86.00s]  tones
[86.00s -> 86.50s]  If
