[4.58s -> 4.80s]  To
[4.80s -> 5.00s]  see
[5.02s -> 5.20s]  how
[5.20s -> 5.50s]  that
[5.50s -> 5.84s]  moon
[5.84s -> 6.22s]  is
[6.22s -> 6.86s]  shining
[6.86s -> 7.52s]  beauty
[9.62s -> 9.72s]  While
[9.72s -> 9.98s]  I'm
[9.98s -> 10.02s]  all
[10.02s -> 10.26s]  by
[10.26s -> 10.94s]  myself
[10.94s -> 11.59s]  surrounded
[12.58s -> 12.68s]  by
[12.68s -> 13.16s]  trees
[14.40s -> 14.50s]  On
[14.50s -> 14.60s]  the
[14.60s -> 15.00s]  edge
[15.00s -> 15.18s]  of
[15.18s -> 15.76s]  departure
[15.76s -> 16.28s]  to
[16.28s -> 16.38s]  be
[16.38s -> 16.70s]  started
[16.70s -> 16.88s]  my
[16.88s -> 17.42s]  journey
[19.28s -> 19.38s]  After
[19.38s -> 19.70s]  that
[19.70s -> 19.98s]  day,
[20.02s -> 20.58s]  relevance
[20.58s -> 21.40s]  came
[21.40s -> 21.70s]  across
[21.70s -> 22.32s]  my
[22.32s -> 22.70s]  view
[24.06s -> 24.50s]  Fearless
[24.50s -> 24.72s]  as
[24.72s -> 24.90s]  that
[24.90s -> 25.12s]  we
[25.12s -> 25.34s]  have,
[25.42s -> 25.82s]  however
[25.82s -> 26.24s]  all
[26.24s -> 26.48s]  this
[26.48s -> 27.02s]  kindness
[27.02s -> 27.22s]  is
[27.22s -> 27.48s]  for
[27.48s -> 27.70s]  me
[27.70s -> 28.00s]  My
[28.00s -> 28.22s]  mouth
[28.22s -> 28.46s]  is
[28.46s -> 28.66s]  on
[28.66s -> 28.80s]  the
[28.80s -> 29.36s]  sketching
[29.36s -> 29.48s]  now
[29.48s -> 29.70s]  I'm
[29.70s -> 29.82s]  throwing
[29.82s -> 30.10s]  on
[30.10s -> 30.30s]  paint
[30.30s -> 30.42s]  and
[30.42s -> 30.60s]  all
[30.60s -> 30.90s]  I
[30.90s -> 31.18s]  love
[31.18s -> 31.26s]  a
[31.26s -> 31.44s]  ship
[31.44s -> 31.60s]  was
[31.60s -> 31.76s]  that
[31.76s -> 32.04s]  was
[32.04s -> 32.26s]  carrying
[32.26s -> 32.48s]  I
[32.48s -> 32.66s]  was
[32.66s -> 32.84s]  strong
[32.84s -> 33.02s]  so
[33.02s -> 33.22s]  we
[33.22s -> 33.46s]  could
[33.46s -> 33.72s]  I'm
