[2.78s -> 3.42s]  Happening
[3.42s -> 3.62s]  so
[3.62s -> 4.10s]  suddenly
[4.10s -> 4.84s]  there
[4.84s -> 5.24s]  was
[5.24s -> 5.74s]  an
[5.74s -> 6.14s]  incident
[6.14s -> 6.48s]  that
[6.48s -> 6.72s]  caught
[6.72s -> 6.92s]  me
[6.92s -> 7.14s]  off
[7.14s -> 7.32s]  guard
[7.32s -> 7.62s]  What
[7.62s -> 8.12s]  started
[8.12s -> 8.58s]  out
[8.58s -> 8.78s]  with
[8.78s -> 9.06s]  the
[9.06s -> 9.58s]  notes
[9.58s -> 9.90s]  sent
[9.90s -> 10.12s]  to
[10.12s -> 10.38s]  me
[10.38s -> 10.84s]  Though
[10.84s -> 11.16s]  out
[11.16s -> 11.36s]  of
[11.36s -> 11.64s]  reach,
[11.74s -> 12.04s]  back
[12.04s -> 12.24s]  in
[12.24s -> 12.56s]  distant
[12.56s -> 13.36s]  generations
[13.68s -> 14.28s]  Came
[14.28s -> 14.52s]  from
[14.52s -> 14.76s]  you
[14.76s -> 14.92s]  to
[14.92s -> 15.22s]  me,
[15.32s -> 15.58s]  so
[15.58s -> 15.88s]  hard
[15.88s -> 16.02s]  to
[16.02s -> 16.32s]  conceive
[16.32s -> 16.64s]  this
[16.64s -> 16.86s]  type
[16.86s -> 17.06s]  of
[17.06s -> 17.48s]  meeting
[17.48s -> 18.26s]  Now
[18.26s -> 18.44s]  you
[18.44s -> 18.66s]  can
[18.66s -> 19.04s]  find
[19.04s -> 19.42s]  in
[19.42s -> 19.60s]  my
[19.60s -> 20.06s]  era,
[20.16s -> 20.84s]  convenient
[20.84s -> 21.38s]  new
[21.38s -> 21.90s]  items
[21.90s -> 22.50s]  Cheers
[22.50s -> 22.74s]  to
[22.74s -> 23.08s]  when
[23.08s -> 23.24s]  we
[23.24s -> 23.62s]  left
[23.62s -> 24.14s]  unknown
[24.14s -> 24.66s]  to
[24.66s -> 24.94s]  you
[24.94s -> 25.76s]  Foreign
[25.76s -> 26.24s]  characters
[26.24s -> 27.04s]  well
