[2.56s -> 2.66s]  Not
[2.66s -> 3.00s]  enough,
[3.16s -> 3.30s]  no
[3.62s -> 3.78s]  time
[3.94s -> 4.14s]  you've
[4.14s -> 4.30s]  got
[4.32s -> 4.80s]  before
[4.80s -> 5.42s]  I
[5.42s -> 5.76s]  cry
[5.76s -> 6.43s]  aloud
[7.12s -> 7.46s]  I
[8.02s -> 8.12s]  spent
[8.12s -> 8.40s]  it
[8.40s -> 8.96s]  up
[8.96s -> 9.16s]  leaving
[9.16s -> 9.80s]  not
[9.80s -> 10.00s]  a
[10.30s -> 10.50s]  tone
[10.50s -> 10.78s]  and
[10.78s -> 11.32s]  only
[11.32s -> 11.71s]  old
[11.82s -> 12.20s]  No
[12.26s -> 12.38s]  more
[12.38s -> 12.78s]  signs
[12.78s -> 13.02s]  of
[13.02s -> 13.52s]  me
[17.26s -> 17.36s]  Say
[17.36s -> 17.78s]  you're
[17.78s -> 18.08s]  not
[18.08s -> 18.80s]  around
[24.18s -> 24.28s]  It
[24.28s -> 24.40s]  all
[24.40s -> 24.70s]  began
[24.70s -> 24.98s]  and
[24.98s -> 25.16s]  all
[25.16s -> 25.28s]  in
[25.28s -> 25.44s]  one
[25.44s -> 25.89s]  morning
[26.31s -> 26.86s]  I
[26.88s -> 27.10s]  hear
[27.10s -> 27.24s]  the
[27.24s -> 27.44s]  beat
[27.44s -> 27.60s]  as
[27.60s -> 27.64s]  I
[27.64s -> 27.92s]  make
[27.92s -> 28.30s]  emotions
[30.00s -> 30.00s]  the
[30.00s -> 30.30s]  space
[30.30s -> 30.76s]  shared
[30.76s -> 30.96s]  in
[30.96s -> 31.08s]  our
[31.08s -> 31.44s]  days
[32.14s -> 32.24s]  Lay
[32.24s -> 32.42s]  out
[32.42s -> 32.54s]  a
[32.54s -> 32.72s]  seal
[32.72s -> 32.90s]  my
[32.90s -> 33.14s]  eyes
[33.14s -> 33.32s]  upon
[33.32s -> 33.78s]  their
[33.78s -> 34.23s]  remnant
[34.36s -> 34.76s]  How
